test_case,call_number,latency_seconds
fake_2,75,0.08134770393371582
fake_2,76,0.08182597160339355
fake_2,77,0.09143424034118652
fake_2,78,0.08795380592346191
fake_2,79,0.08603858947753906
fake_2,80,0.08096432685852051
fake_2,81,0.08816885948181152
fake_2,82,0.07861852645874023
fake_2,83,0.07976841926574707
fake_2,84,0.08515167236328125
fake_2,85,0.08279085159301758
fake_2,86,0.0848541259765625
fake_2,87,0.0922398567199707
fake_2,88,0.08006167411804199
fake_2,89,0.08006095886230469
fake_2,90,0.08300375938415527
fake_2,91,0.08789515495300293
fake_2,92,0.08701062202453613
fake_2,93,0.0788729190826416
fake_2,94,0.08647894859313965
fake_2,95,0.08753395080566406
fake_2,96,0.0826411247253418
fake_2,97,0.0845639705657959
fake_2,98,0.07820653915405273
fake_2,99,0.08092260360717773
fake_2,100,0.12267041206359863
real_1,1,0.08374834060668945
real_1,2,0.09063053131103516
real_1,3,0.08910202980041504
real_1,4,0.08363699913024902
real_1,5,0.07882046699523926
real_1,6,0.07882189750671387
real_1,7,0.08766055107116699
real_1,8,0.08765244483947754
real_1,9,0.08204531669616699
real_1,10,0.0860297679901123
real_1,11,0.0851140022277832
real_1,12,0.08868622779846191
real_1,13,0.08052468299865723
real_1,14,0.08315300941467285
real_1,15,0.07993054389953613
real_1,16,0.08686351776123047
real_1,17,0.08359599113464355
real_1,18,0.09058403968811035
real_1,19,0.09337949752807617
real_1,20,0.08840799331665039
real_1,21,0.08693814277648926
real_1,22,0.0795907974243164
real_1,23,0.08254313468933105
real_1,24,0.08577632904052734
real_1,25,0.09036040306091309
real_1,26,0.08815741539001465
real_1,27,0.07988214492797852
real_1,28,0.09132027626037598
real_1,29,0.08536434173583984
real_1,30,0.08212065696716309
real_1,31,0.09956240653991699
real_1,32,0.08269143104553223
real_1,33,0.09490609169006348
real_1,34,0.09517931938171387
real_1,35,0.08551669120788574
real_1,36,0.08321261405944824
real_1,37,0.08187508583068848
real_1,38,0.08411693572998047
real_1,39,0.07905960083007812
real_1,40,0.08451628684997559
real_1,41,0.07454943656921387
real_1,42,0.08301019668579102
real_1,43,0.0792851448059082
real_1,44,0.08582949638366699
real_1,45,0.08904838562011719
real_1,46,0.07725644111633301
real_1,47,0.08631420135498047
real_1,48,0.0858612060546875
real_1,49,0.08819460868835449
real_1,50,0.08876681327819824
real_1,51,0.07944416999816895
real_1,52,0.09047245979309082
real_1,53,0.08904576301574707
real_1,54,0.08203411102294922
real_1,55,0.08617568016052246
real_1,56,0.08191227912902832
real_1,57,0.08266639709472656
real_1,58,0.08003926277160645
real_1,59,0.08274555206298828
real_1,60,0.0774848461151123
real_1,61,0.07645177841186523
real_1,62,0.07785558700561523
real_1,63,0.07972836494445801
real_1,64,0.07919573783874512
real_1,65,0.08201789855957031
real_1,66,0.08242511749267578
real_1,67,0.08092451095581055
real_1,68,0.08250546455383301
real_1,69,0.08442473411560059
real_1,70,0.08060646057128906
real_1,71,0.07945036888122559
real_1,72,0.0865938663482666
real_1,73,0.07661724090576172
real_1,74,0.0852513313293457
real_1,75,0.08300113677978516
real_1,76,0.08844232559204102
real_1,77,0.0859384536743164
real_1,78,0.08271193504333496
real_1,79,0.08033013343811035
real_1,80,0.07866811752319336
real_1,81,0.08439064025878906
real_1,82,0.07997870445251465
real_1,83,0.08048629760742188
real_1,84,0.0836799144744873
real_1,85,0.08259129524230957
real_1,86,0.08648085594177246
real_1,87,0.08681821823120117
real_1,88,0.10215973854064941
real_1,89,0.08327722549438477
real_1,90,0.08083200454711914
real_1,91,0.08132815361022949
real_1,92,0.08607029914855957
real_1,93,0.08151960372924805
real_1,94,0.08051085472106934
real_1,95,0.09421038627624512
real_1,96,0.08202171325683594
real_1,97,0.07927870750427246
real_1,98,0.0770716667175293
real_1,99,0.08373117446899414
real_1,100,0.0810556411743164
real_2,1,0.07709860801696777
real_2,2,0.08284616470336914
real_2,3,0.07896113395690918
real_2,4,0.08991456031799316
real_2,5,0.08650755882263184
real_2,6,0.09203696250915527
real_2,7,0.0828554630279541
real_2,8,0.09036087989807129
real_2,9,0.08324551582336426
real_2,10,0.0930948257446289
real_2,11,0.08297324180603027
real_2,12,0.08359599113464355
real_2,13,0.08028244972229004
real_2,14,0.08117079734802246
real_2,15,0.08713364601135254
real_2,16,0.08910346031188965
real_2,17,0.08931565284729004
real_2,18,0.09139132499694824
real_2,19,0.0847325325012207
real_2,20,0.08545804023742676
real_2,21,0.08347630500793457
real_2,22,0.08436846733093262
real_2,23,0.0892786979675293
real_2,24,0.08451199531555176
real_2,25,0.08620786666870117
real_2,26,0.08583188056945801
real_2,27,0.08362483978271484
real_2,28,0.0846247673034668
real_2,29,0.0821523666381836
real_2,30,0.0831153392791748
real_2,31,0.0805213451385498
real_2,32,0.08585095405578613
real_2,33,0.08363842964172363
real_2,34,0.081878662109375
real_2,35,0.0872795581817627
real_2,36,0.09479880332946777
real_2,37,0.08396315574645996
real_2,38,0.08013486862182617
real_2,39,0.08364677429199219
real_2,40,0.08101201057434082
real_2,41,0.08341574668884277
real_2,42,0.08807563781738281
real_2,43,0.08760404586791992
real_2,44,0.08490347862243652
real_2,45,0.07737851142883301
real_2,46,0.08657622337341309
real_2,47,0.10135555267333984
real_2,48,0.08035778999328613
real_2,49,0.08174514770507812
real_2,50,0.09043693542480469
real_2,51,0.0814516544342041
real_2,52,0.10161733627319336
real_2,53,0.08658456802368164
real_2,54,0.09008216857910156
real_2,55,1.102726936340332
real_2,56,0.07881331443786621
real_2,57,0.08208775520324707
real_2,58,0.08207440376281738
real_2,59,0.0832061767578125
real_2,60,0.08958029747009277
real_2,61,0.08686089515686035
real_2,62,0.07809233665466309
real_2,63,0.0961606502532959
real_2,64,0.08602523803710938
real_2,65,0.07990574836730957
real_2,66,0.08304572105407715
real_2,67,0.0821084976196289
real_2,68,0.07938289642333984
real_2,69,0.08563804626464844
real_2,70,0.08232235908508301
real_2,71,0.08122801780700684
real_2,72,0.08348798751831055
real_2,73,0.08425378799438477
real_2,74,0.0873720645904541
real_2,75,0.08439755439758301
real_2,76,0.08269262313842773
real_2,77,0.07907700538635254
real_2,78,0.08019256591796875
real_2,79,0.08571887016296387
real_2,80,0.08705663681030273
real_2,81,0.0868382453918457
real_2,82,0.0826714038848877
real_2,83,0.07910037040710449
real_2,84,0.08389401435852051
real_2,85,0.08379149436950684
real_2,86,0.08080267906188965
real_2,87,0.08802390098571777
real_2,88,0.0796041488647461
real_2,89,0.08646988868713379
real_2,90,0.08212518692016602
real_2,91,0.08246231079101562
real_2,92,0.09354352951049805
real_2,93,0.07948803901672363
real_2,94,0.09812474250793457
real_2,95,0.07825541496276855
real_2,96,0.18806886672973633
real_2,97,0.08331799507141113
real_2,98,0.21039462089538574
real_2,99,0.08976149559020996
real_2,100,0.15614700317382812
